Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
8/31/2009,BAJAJFINSV,EQ,289.95,289.15,292.5,277,279.95,279.3,281.7,28802,8.11354E+11,,21542,0.7479
9/1/2009,BAJAJFINSV,EQ,279.3,283,290,280.05,284.5,282.85,285.57,17899,5.11134E+11,,10937,0.611
9/2/2009,BAJAJFINSV,EQ,282.85,283.5,287.85,278.25,284.7,281.75,283.74,12000,3.40494E+11,,8013,0.6678
9/3/2009,BAJAJFINSV,EQ,281.75,287.5,290,275,275.05,276.85,283.58,55224,1.56605E+12,,32404,0.5868
9/4/2009,BAJAJFINSV,EQ,276.85,276.45,287,269,273,272.3,273.99,34513,9.45633E+11,,17162,0.4973
9/7/2009,BAJAJFINSV,EQ,272.3,274,279.4,274,275.05,276.55,277.12,17867,4.95127E+11,,10147,0.5679
9/8/2009,BAJAJFINSV,EQ,276.55,275,278.5,265.5,268.75,268.2,270.67,39071,1.05753E+12,,22722,0.5816
9/9/2009,BAJAJFINSV,EQ,268.2,275,275,264,266.75,266.6,268.36,17752,4.7639E+11,,12071,0.68
9/10/2009,BAJAJFINSV,EQ,266.6,261.05,271.5,260.05,261.75,261.6,262.78,31387,8.24788E+11,,19201,0.6118
9/11/2009,BAJAJFINSV,EQ,261.6,263,265,249,252.9,254.2,255.42,31901,8.14811E+11,,17903,0.5612
9/14/2009,BAJAJFINSV,EQ,254.2,253.05,261,251,254,253,254.25,13171,3.34869E+11,,7767,0.5897
9/15/2009,BAJAJFINSV,EQ,253,255,259,251,255.6,254.85,255.75,28798,7.36509E+11,,20561,0.714
9/16/2009,BAJAJFINSV,EQ,254.85,254.85,260,254.85,258,257.4,257.95,19324,4.98465E+11,,11636,0.6022
9/17/2009,BAJAJFINSV,EQ,257.4,258,266,258,258.05,260.35,261.56,42101,1.10121E+12,,29590,0.7028
9/18/2009,BAJAJFINSV,EQ,260.35,265.05,292,261.35,269.2,275.5,278.55,268529,7.47997E+12,,133331,0.4965
9/22/2009,BAJAJFINSV,EQ,275.5,274.45,306.7,273.9,296.3,295.45,294.83,409069,1.20607E+13,,207468,0.5072
9/23/2009,BAJAJFINSV,EQ,295.45,295,310.9,290.1,293,292.8,301.71,166574,5.02569E+12,,68846,0.4133
9/24/2009,BAJAJFINSV,EQ,292.8,290,296.7,283,285,285.7,288.6,57146,1.64922E+12,,30062,0.5261
9/25/2009,BAJAJFINSV,EQ,285.7,290,295.5,280.1,283,284.05,288.32,56043,1.61585E+12,,24672,0.4402
9/29/2009,BAJAJFINSV,EQ,284.05,289.9,291,277.5,278.85,278.3,282.09,46633,1.31545E+12,,27418,0.588
9/30/2009,BAJAJFINSV,EQ,278.3,278,283.75,271.25,281.4,278.45,278.92,40451,1.12826E+12,,23532,0.5817
10/1/2009,BAJAJFINSV,EQ,278.45,272.25,302,272.25,291,291.15,293.13,259443,7.60499E+12,,118184,0.4555
10/5/2009,BAJAJFINSV,EQ,291.15,289,311,288.4,300,301.5,303.55,467938,1.42041E+13,,180245,0.3852
